userId,movieId,timestamp,imdb_score
1,31,1260759144,7.9
1,1029,1260759179,7.1
1,1061,1260759182,6.8
1,1129,1260759185,8.5
1,1172,1260759205,7.1
1,1263,1260759151,6.6
1,1287,1260759187,6.2
1,1293,1260759148,7.8
1,1339,1260759125,7.5
1,1343,1260759131,7.5
1,1371,1260759135,6.9
1,1405,1260759203,6.1
1,1953,1260759191,6.7
1,2105,1260759139,7.3
1,2150,1260759194,6.5
1,2193,1260759198,7.2
1,2294,1260759108,6.6
1,2455,1260759113,8.1
1,2968,1260759200,6.7
1,3671,1260759117,6.8
2,10,835355493,7.5
2,17,835355681,7
2,39,835355604,6.7
2,47,835355552,7.9
2,50,835355586,6.1
2,52,835356031,7.2
2,62,835355749,7.7
2,110,835355532,8.2
2,144,835356016,5.9
2,150,835355395,7
2,153,835355441,7.8
2,161,835355493,7.3
2,165,835355441,7.2
2,168,835355710,6.5
2,185,835355511,6.8
2,186,835355664,7.3
2,208,835355511,6
2,222,835355840,5.7
2,223,835355749,6.4
2,225,835355552,6.7
2,235,835355664,6.8
2,248,835355896,6.3
2,253,835355511,5.6
2,261,835355681,8.3
2,265,835355697,6.6
2,266,835355586,7.2
2,272,835355767,7
2,273,835355779,8
2,292,835355492,7.8
2,296,835355395,6.3
2,300,835355532,7.3
2,314,835356044,6.6
2,317,835355551,7
2,319,835355918,6.3
2,339,835355492,6.2
2,349,835355441,6.8
2,350,835355697,7.2
2,356,835355628,7.5
2,357,835355749,8.4
2,364,835355604,6.2
2,367,835355619,5.8
2,370,835355932,6.8
2,371,835355968,5.4
2,372,835356094,6.6
2,377,835355710,6.9
2,382,835356165,7.3
2,405,835356246,9
2,410,835355532,8.3
2,454,835355604,6.5
2,457,835355511,7.9
2,468,835355790,7.5
2,474,835355828,4.8
2,480,835355643,5.2
2,485,835355918,6.9
2,497,835355880,5.4
2,500,835355731,7.9
2,508,835355860,6.1
2,509,835355719,5.8
2,515,835355817,8.3
2,527,835355731,7.8
2,537,835356199,7
2,539,835355767,6.1
2,550,835356109,7
2,551,835355767,7.6
2,552,835355860,4.5
2,585,835355817,6.3
2,586,835355790,7.8
2,587,835355779,6.4
2,588,835355441,6.5
2,589,835355697,7.9
2,590,835355395,7.8
2,592,835355395,6.6
2,593,835355511,5.5
2,616,835355932,8.2
2,661,835356141,6.4
2,720,835355978,8.1
3,60,1298861675,8.6
3,110,1298922049,8.8
3,247,1298861637,8.2
3,267,1298861761,7.9
3,296,1298862418,6.7
3,318,1298862121,7.8
3,355,1298861589,7.8
3,356,1298862167,6.6
3,377,1298923242,6.1
3,527,1298862528,5.6
3,588,1298922100,6.4
3,592,1298923247,6.1
3,593,1298921840,7.3
3,595,1298923260,6.6
3,736,1298932787,6.3
3,778,1298863157,6.1
3,866,1298861687,7.1
3,1197,1298932770,5.5
3,1210,1298921795,7.5
3,1235,1298861628,7.6
3,1271,1298861605,6.4
3,1378,1298861658,7.2
3,1580,1298922089,6.7
3,1721,1298923236,8
3,1884,1298863143,8.3
3,2028,1298921862,6.7
3,2318,1298861753,5.9
3,2513,1298861789,6.7
3,2694,1298862710,6.7
3,2702,1298861796,7.6
3,2716,1298924017,7.2
3,2762,1298922057,7.1
3,2841,1298861733,8.1
3,2858,1298921825,6.7
3,2959,1298862874,7
3,3243,1298861968,6.9
3,3510,1298861633,5.1
3,3949,1298863174,5.8
3,5349,1298923266,6.2
3,5669,1298862672,7.4
3,6377,1298922080,5.8
3,7153,1298921787,6.6
3,7361,1298922065,6.2
3,8622,1298861650,7.3
3,8636,1298932766,4.2
3,27369,1298862555,6.9
